ACCOUNT_ID,INIT_BALANCE,IS_MULE,in_tx_count,out_tx_count,in_out_ratio,unique_in_counterparties,unique_out_counterparties,unique_total_counterparties,counterparty_reuse_ratio,pass_through_ratio,fan_in_score,fan_out_score,amount_sum,amount_mean,amount_std,amount_max,amount_cv,amount_in_sum,amount_out_sum,amount_in_out_ratio,first_tx_step,last_tx_step,active_span_steps,tx_per_active_step,max_step_tx_count,max_step_amount,burst_tx_ratio,burst_amount_ratio,median_inter_tx_gap_steps,rapid_in_out_count,two_hop_out_count,two_hop_in_count,cycle_count_2hop,shared_counterparty_count,chain_middle_score,sink_score,source_score,simple_anomaly_score,simple_rule_score
0,184.44,0,20,19,1.0526315789473684,1,1,2,0.9487179487179487,0.48717948717948717,0.5128205128205128,0.48717948717948717,3856.36,98.88102564102564,83.39257274297066,184.44,0.8433627402462051,352.0,3504.36,0.1004463011791026,7,187,181,0.2154696132596685,2,202.04,0.05128205128205128,0.05239137424929208,3.5,1,8,3,0,0,0.5,0.2629848783694937,0.23734385272846814,0.33301177858796144,0.08
1,175.8,0,4,19,0.21052631578947367,1,1,2,0.9130434782608696,0.17391304347826086,0.17391304347826086,0.8260869565217391,5059232.13,219966.61434782608,979689.6096983568,4811472.5,4.453810468479573,5055891.93,3340.2000000000003,1513.649461110113,8,195,188,0.12234042553191489,1,4811472.5,0.043478260869565216,0.9510282146314564,7.5,1,17,4,0,0,0.5,0.030245746691871453,0.6824196597353497,0.3930209653370853,0.1
2,142.06,0,0,21,0.0,0,1,1,0.9523809523809523,0.0,0.0,1.0,2983.05,142.05000000000004,2.842170943040401e-14,142.05,2.000824317522281e-16,0.0,2983.05,0.0,7,198,192,0.109375,1,142.05,0.047619047619047616,0.04761904761904762,8.5,0,11,0,0,0,0.0,0.0,1.0,0.20016490610660037,0.0
3,125.89,0,3,23,0.13043478260869565,1,1,2,0.9230769230769231,0.11538461538461539,0.11538461538461539,0.8846153846153846,3011290.41,115818.86192307691,532716.830538567,2769719.75,4.5995688585886825,3008395.17,2895.24,1039.083174451859,0,192,193,0.13471502590673576,1,2769719.75,0.038461538461538464,0.9197783584081483,6.0,0,1,7,0,0,0.5,0.013313609467455627,0.7825443786982248,0.3741644076646168,0.1
4,151.13,0,0,40,0.0,0,2,2,0.95,0.0,0.0,1.0,3022.4,75.56,0.0,75.56,0.0,0.0,3022.4,0.0,7,197,191,0.2094240837696335,2,151.12,0.05,0.05,0.0,0,15,0,0,0,0.0,0.0,1.0,0.22888012227802734,0.0
5,140.49,0,0,40,0.0,0,2,2,0.95,0.0,0.0,1.0,2809.6,70.24,0.0,70.24,0.0,0.0,2809.6,0.0,14,165,152,0.2631578947368421,2,140.48,0.05,0.049999999999999996,0.0,0,15,0,0,0,0.0,0.0,1.0,0.24168564585219648,0.0
6,178.38,0,1,44,0.022727272727272728,1,2,3,0.9333333333333333,0.022222222222222223,0.022222222222222223,0.9777777777777777,312957.54,6954.612000000001,45540.05760290269,309033.18,6.548180919784265,309033.18,3924.3599999999997,78.74740849463352,28,199,172,0.2616279069767442,2,309033.18,0.044444444444444446,0.9874604075683877,0.5,0,7,12,0,0,0.6666666666666666,0.0004938271604938279,0.9560493827160493,0.3434905536131953,0.0
7,130.33,0,40,42,0.9523809523809523,2,2,4,0.9512195121951219,0.4878048780487805,0.4878048780487805,0.5121951219512195,7816.320000000001,95.32097560975609,33.13821887590971,144.11,0.3476487589843553,5079.6,2736.72,1.8560905024993426,0,197,198,0.41414141414141414,3,274.43,0.036585365853658534,0.03510987267665602,2.0,16,22,15,0,0,1.0,0.23795359904818558,0.26234384295062463,0.39765915151423525,0.08
8,147.66,0,20,42,0.47619047619047616,1,2,3,0.9516129032258065,0.3225806451612903,0.3225806451612903,0.6774193548387096,5761.860000000001,92.93322580645162,27.683204222881894,133.05,0.29788274304108003,2661.0,3100.86,0.8581490296240397,7,199,193,0.32124352331606215,2,147.66,0.03225806451612903,0.025627141235642654,2.0,0,11,2,0,0,0.6666666666666666,0.10405827263267431,0.4588969823100937,0.33590635467988555,0.08
9,158.34,0,0,44,0.0,0,2,2,0.9545454545454546,0.0,0.0,1.0,3483.04,79.15999999999998,1.4210854715202004e-14,79.16,1.7952065077314309e-16,0.0,3483.04,0.0,7,169,163,0.26993865030674846,2,158.32,0.045454545454545456,0.045454545454545456,0.0,0,2,0,0,0,0.0,0.0,1.0,0.2479049039618049,0.0
